model,turn_progress_bin,brier_mean,brier_std,log_loss_mean,log_loss_std,n_samples
xgboost,0.7-0.8,0.1168947947030925,0.005168922366791576,0.3534951882518897,0.012976978085630251,149289
xgboost,0.8-0.9,0.09951081152022796,0.003772074890976151,0.30650422258711235,0.009570491484909521,144273
xgboost,0.9-1.0,0.08200099243503403,0.002893245644859804,0.25789754883005456,0.007049195291033079,134884
mlp,0.0-0.1,0.10790027316620887,0.0011361515025801851,0.3702430415869681,0.004488288235655499,162603
mlp,0.1-0.2,0.10432652775704473,0.0029032962077421296,0.35467288186076396,0.011766269023583223,160749
mlp,0.2-0.3,0.10051290044194294,0.0027163155516289456,0.3365861099691532,0.011698636418927261,161407
mlp,0.3-0.4,0.09606018299694666,0.003748491499916922,0.31838112951602876,0.011322687556916879,160642
mlp,0.4-0.5,0.0898985065189479,0.004917123284229585,0.292191094363959,0.014587316036446574,159542
mlp,0.5-0.6,0.08524258062888387,0.005270355615582975,0.2738907697324012,0.014796767383599486,159110
mlp,0.6-0.7,0.08042874129058004,0.004605875270763695,0.2588116055262959,0.014269007484863091,154567
mlp,0.7-0.8,0.07262191017179356,0.004118553484588066,0.23353578018078305,0.013729716401658047,149289
mlp,0.8-0.9,0.06375285476852008,0.003300573507595669,0.20435937109328056,0.010343332478455149,144273
mlp,0.9-1.0,0.05632012899909052,0.003240504890995013,0.18352713269228332,0.009298542560408048,134884
grouped_mlp,0.0-0.1,0.10835512077748033,0.002050421964374483,0.3706462723811591,0.007676205039158366,162603
grouped_mlp,0.1-0.2,0.10260798837051159,0.004120737353903874,0.34723862311806786,0.016201136660169087,160749
grouped_mlp,0.2-0.3,0.0996028953070132,0.003922065946202158,0.3326020506488404,0.014644199307428276,161407
grouped_mlp,0.3-0.4,0.09566336590245383,0.0048932560396089805,0.31610949241506947,0.015547716007016966,160642
grouped_mlp,0.4-0.5,0.08749846245021167,0.007037675566718539,0.2888868720630725,0.01958142682322419,159542
grouped_mlp,0.5-0.6,0.08254020712978434,0.009192145320576859,0.27183504542109577,0.022744538818881797,159110
grouped_mlp,0.6-0.7,0.07822938853004163,0.006770478462137648,0.2561268072303576,0.015707002321402486,154567
grouped_mlp,0.7-0.8,0.06969549803389775,0.005601577300992614,0.2244555745511881,0.018282116434957838,149289
grouped_mlp,0.8-0.9,0.05854073244271607,0.004803477635345489,0.18886510357403202,0.015243327911105808,144273
grouped_mlp,0.9-1.0,0.04851359369798769,0.00679128829634966,0.15717876696330751,0.017273072471069444,134884
interaction_mlp,0.0-0.1,0.10803052614399689,0.0013221892126763423,0.3707391371500142,0.0048965901086135384,162603
interaction_mlp,0.1-0.2,0.10388315597820996,0.0024929188806673062,0.35347581271445294,0.00958563989146742,160749
interaction_mlp,0.2-0.3,0.10047476414846983,0.002091798795854519,0.33622087214893304,0.008794858474882055,161407
interaction_mlp,0.3-0.4,0.09359037642939586,0.003844948708081141,0.3109152686825153,0.012397146306693344,160642
interaction_mlp,0.4-0.5,0.08514271076250382,0.004950433357271893,0.2789956528268356,0.013913511293408178,159542
interaction_mlp,0.5-0.6,0.08001918488967225,0.004664937294023214,0.2595295808652524,0.013221258919624794,159110
interaction_mlp,0.6-0.7,0.07462589946188411,0.005947824880231598,0.23989450130315487,0.01563977169050661,154567
interaction_mlp,0.7-0.8,0.06719232435553349,0.004482410191431322,0.21591628586001782,0.015378382879807011,149289
interaction_mlp,0.8-0.9,0.05723832812958368,0.0029399828288531864,0.18367317177087697,0.0075032357933288284,144273
interaction_mlp,0.9-1.0,0.04716030175610697,0.00661326710041709,0.15261095503140396,0.018874419349027005,134884
